crop,soil,water_need,season,base_yield,price
Rice,clay,high,Kharif,50,1500
Rice,clay,medium,Rabi,45,1450
Maize,loam,medium,Kharif,40,1800
Maize,loam,medium,Rabi,35,1750
Wheat,loam,medium,Rabi,30,2100
Wheat,clay,high,Rabi,28,2050
Tomato,sandy,high,Kharif,20,1200
Tomato,sandy,medium,Rabi,18,1250
Ragi,red,low,Kharif,25,2000
Ragi,red,low,Rabi,22,1950
Sugarcane,clay,high,Kharif,50,1500
Sugarcane,clay,high,Rabi,45,1450
Rice,red,medium,Kharif,48,1480
Maize,red,medium,Kharif,42,1820
Wheat,sandy,medium,Kharif,32,2120
Tomato,loam,high,Rabi,19,1220
Ragi,loam,low,Rabi,23,1980
Sugarcane,red,high,Kharif,48,1520
Rice,loam,medium,Rabi,46,1470
Maize,clay,medium,Rabi,38,1780
Wheat,red,medium,Rabi,31,2090
Tomato,clay,high,Kharif,21,1210
Ragi,sandy,low,Kharif,24,1990
Sugarcane,loam,high,Rabi,47,1505
Rice,sandy,medium,Kharif,44,1490
Maize,red,medium,Rabi,36,1770
Wheat,loam,medium,Kharif,33,2110
Tomato,red,high,Rabi,20,1230
Ragi,clay,low,Kharif,26,1970
Sugarcane,sandy,high,Rabi,46,1510
Rice,loam,high,Kharif,50,1500
Maize,clay,medium,Kharif,39,1790
Wheat,sandy,medium,Rabi,30,2080
Tomato,loam,high,Kharif,22,1200
Ragi,red,low,Rabi,23,1960
Sugarcane,clay,high,Kharif,49,1500
Rice,red,medium,Rabi,45,1460
Maize,loam,medium,Kharif,41,1810
Wheat,clay,medium,Rabi,32,2100
Tomato,sandy,high,Rabi,18,1240
Ragi,loam,low,Kharif,25,1990
Sugarcane,red,high,Rabi,46,1495
Rice,sandy,medium,Rabi,47,1485
Maize,clay,medium,Kharif,40,1805
Wheat,red,medium,Kharif,31,2115
Tomato,loam,high,Rabi,21,1225
Ragi,clay,low,Kharif,24,1985
Sugarcane,loam,high,Kharif,48,1510
Rice,red,medium,Kharif,49,1490
Maize,red,medium,Rabi,37,1765
Wheat,loam,medium,Rabi,33,2095
Tomato,red,high,Kharif,20,1215
Ragi,sandy,low,Rabi,22,1975
